source_id,title,organization,url,domain,source_level,category,published_at,retrieved_at,local_file,status
SRC-P0-019,"海南省一些地方红树林保护不力","中华人民共和国生态环境部","https://www.mee.gov.cn/ywgz/zysthjbhdc/dcjl/202312/t20231201_1057814.shtml","mee.gov.cn",P0,ecology,2023-12-01,2026-08-11,"knowledge/05_ecology/02_qinglan_mangrove_protection.md",active
SRC-P1-020,"红树林湿地调查：我眼中的那片海上森林","广州海洋地质调查局","https://www.gmgs.cgs.gov.cn/xsqdzgzz/202010/t20201009_656185.html","gmgs.cgs.gov.cn",P1,ecology,2020-10-09,2026-08-11,,supporting
SRC-P0-021,"关于申报2025年度海洋生态保护修复工程项目的请示","海南省财政厅、海南省自然资源和规划厅","https://mof.hainan.gov.cn/sczt/0503/202409/d23f3fbe99804c7192dfb8404cf5b351.shtml","mof.hainan.gov.cn",P0,coast_ocean,2024-08-29,2026-08-11,"knowledge/06_coast_ocean/01_coastal_ecological_restoration.md",active
SRC-P0-022,"中国生物多样性保护战略与行动计划（2011-2030年）","中华人民共和国生态环境部","https://www.mee.gov.cn/gkml/hbb/bwj/201009/t20100921_194841.htm","mee.gov.cn",P0,coast_ocean,2010-09-21,2026-08-11,,supporting
SRC-P0-023,"2024年度全国成功避险避灾典型案例","中华人民共和国应急管理部","https://www.mem.gov.cn/xw/yjglbgzdt/202506/t20250606_542098.shtml","mem.gov.cn",P0,disaster_climate,2025-06-06,2026-08-11,"knowledge/07_disaster_climate/01_typhoon_yagi_and_risk_avoidance.md",active
SRC-P0-024,"海南省2021年12月气候影响评价","海南省气象局","https://hi.cma.gov.cn/zfxxgk/zwgk/sjtj/202201/t20220113_4423778.html","hi.cma.gov.cn",P0,disaster_climate,2022-01-13,2026-08-11,"knowledge/07_disaster_climate/02_climate_data_reading.md",active
SRC-P0-025,"海南鲜品：文昌鸡四百年传承的味蕾传奇","海南省农业农村厅","https://agri.hainan.gov.cn/hnsnyt/ywdt/zwdt/202411/t20241128_3775924.html","agri.hainan.gov.cn",P0,agriculture,2024-11-28,2026-08-11,"knowledge/09_agriculture/01_wenchang_chicken_industry.md",active
SRC-P0-026,"海南省国家级和省级农业国际贸易高质量发展基地名单","海南省农业农村厅","https://agri.hainan.gov.cn/hnsnyt/xxgk/tzgg/xztz/202503/P020250331384586329110.pdf","agri.hainan.gov.cn",P0,agriculture,,2026-08-11,,supporting
SRC-P0-027,"2023年度海南省级生态农场拟授予名单","海南省农业农村厅","https://agri.hainan.gov.cn/hnsnyt/xxgk/tzgg/gggs/202311/P020231113624031569245.pdf","agri.hainan.gov.cn",P0,agriculture,,2026-08-11,,supporting
SRC-P2-028,"海南推介自贸港研学旅游资源","中国旅游报","https://www.mct.gov.cn/whzx/qgwhxxlb/hn_7734/202603/t20260318_965038.htm","mct.gov.cn",P2,study_tour,2026-03-18,2026-08-11,"knowledge/18_study_tour/01_aerospace_study_resource_framework.md",active
SRC-P2-029,"海南发布多项航天旅游产品","中国旅游报","https://www.mct.gov.cn/whzx/qgwhxxlb/hn_7734/202504/t20250428_959679.htm","mct.gov.cn",P2,tourism,2025-04-28,2026-08-11,"knowledge/13_tourism/01_aerospace_tourism_products.md",active
SRC-P0-030,"海南·文昌滨海乡村之旅","中华人民共和国文化和旅游部","https://zhuanti.mct.gov.cn/csxz2022/hainan/detail_g7yU_724/4602.html","mct.gov.cn",P0,study_tour,2023-09-19,2026-08-11,"knowledge/18_study_tour/02_coastal_village_study_route.md",active
SRC-P0-031,"海南·悠游文昌名人故里","中华人民共和国文化和旅游部","https://zhuanti.mct.gov.cn/xcss2024_xcygj/hainan/detail/7174.html","mct.gov.cn",P0,tourism,2024-07-16,2026-08-11,,supporting
SRC-P0-032,"海南拟增加19项省级非遗代表性项目","海南省旅游和文化广电体育厅","https://www.hainan.gov.cn/hainan/tingju/202310/c8fae104361e42bb9449635d82e46dec.shtml","hainan.gov.cn",P0,culture,,2026-08-11,"knowledge/12_culture/02_wenchang_intangible_heritage.md",active
SRC-P0-033,"Wenchang chicken","海南省人民政府","https://en.hainan.gov.cn/englishsite/sDining/202506/594f540cda93448c85c0b093e66bdd65.shtml?ddtab=true","hainan.gov.cn",P0,food_folk_custom,2025-06-19,2026-08-11,"knowledge/14_food_folk_custom/01_wenchang_chicken_food_culture.md",active
SRC-P2-034,"文昌铜鼓岭景区","海南日报","https://en.hainan.gov.cn/hainan/tshn/201908/e1ad234456314508b94314cced371212.shtml?ddtab=true","hainan.gov.cn",P2,tourism,2019-08-13,2026-08-11,,supporting
SRC-P0-035,"海南省沿海防护林总体规划","海南省人民政府办公厅","https://www.hainan.gov.cn/hainan/szfbgtwj/202412/dc2556a9a620442fad41c73c3976b27e/files/9e20a914f9c44d23acb7de93e08e7084.pdf","hainan.gov.cn",P0,policy_planning,,2026-08-11,"knowledge/17_policy_planning/02_coastal_protection_forest_planning.md",active
SRC-P0-036,"关于下达2024年摩羯台风农业防灾减灾和水利救灾资金的通知","海南省财政厅","https://mof.hainan.gov.cn/sczt/0503/202409/a9d4b4fb3ff344a48bd07d3a31522076.shtml","mof.hainan.gov.cn",P0,disaster_climate,,2026-08-11,,supporting
SRC-P0-037,"中国的海洋生态环境保护白皮书","中华人民共和国生态环境部","https://www.mee.gov.cn/ywdt/xwfb/202407/t20240711_1081353.shtml","mee.gov.cn",P0,coast_ocean,2024-07-11,2026-08-11,,supporting
SRC-P0-038,"海南省2010年第六次人口普查主要数据公报","国家统计局（转载海南省统计局公报）","https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902065.html","stats.gov.cn",P0,population_administration,2011-05-10,2026-08-11,"knowledge/03_population_administration/01_population_and_public_service_scope.md",active
SRC-P0-039,"海南具备条件自然村全部通硬化路","中华人民共和国交通运输部","https://www.mot.gov.cn/zhuanti/sihaoncl/difangssxg/202406/t20240618_4142596.html","mot.gov.cn",P0,transportation,2024-06-11,2026-08-11,"knowledge/10_transportation/01_transport_and_tourism_roads.md",active
SRC-P0-040,"海南省“四优四强”大力推进国家平台全域应用试点 助力基础教育扩优提质","中华人民共和国教育部","https://hudong.moe.gov.cn/jyb_sjzl/s3165/202504/t20250401_1185750.html","moe.gov.cn",P0,education_science,2025-03-24,2026-08-11,"knowledge/11_education_science/01_education_and_aerospace_innovation.md",active
SRC-P0-041,"中共海南省委关于贯彻落实党的二十届三中全会精神奋力争当新时代改革开放示范的实施意见","中共海南省委（海南省人民政府网站发布）","https://www.hainan.gov.cn/hainan/c100520em/202409/2db4c31560d14037a63df9bcca0ca631.shtml","hainan.gov.cn",P0,urban_development,,2026-08-11,"knowledge/16_urban_development/01_city_bay_and_urban_renewal.md",active
SRC-P0-042,"海南自贸港政策解读：海南自由贸易港国土空间规划条例","海南省人民政府","https://en.hainan.gov.cn/hainan/c100724/202412/29b00e9260104ad99d13d61f55fbdbd8.shtml?ddtab=true","hainan.gov.cn",P0,policy_planning,,2026-08-11,"knowledge/17_policy_planning/01_territorial_spatial_planning.md",active
SRC-P1-043,"文城镇地名检索记录","OpenStreetMap contributors","https://nominatim.openstreetmap.org/search?format=jsonv2&countrycodes=cn&q=文城镇%2C文昌市%2C海南省%2C中国","openstreetmap.org",P1,administrative_unit,,2026-08-11,"knowledge/administrative-units/01_wencheng.md",active
SRC-P1-044,"重兴镇地名检索记录","OpenStreetMap contributors","https://nominatim.openstreetmap.org/search?format=jsonv2&countrycodes=cn&q=重兴镇%2C文昌市%2C海南省%2C中国","openstreetmap.org",P1,administrative_unit,,2026-08-11,"knowledge/administrative-units/02_chongxing.md",active
SRC-P1-045,"蓬莱镇地名检索记录","OpenStreetMap contributors","https://nominatim.openstreetmap.org/search?format=jsonv2&countrycodes=cn&q=蓬莱镇%2C文昌市%2C海南省%2C中国","openstreetmap.org",P1,administrative_unit,,2026-08-11,"knowledge/administrative-units/03_penglai.md",active
SRC-P1-046,"会文镇地名检索记录","OpenStreetMap contributors","https://nominatim.openstreetmap.org/search?format=jsonv2&countrycodes=cn&q=会文镇%2C文昌市%2C海南省%2C中国","openstreetmap.org",P1,administrative_unit,,2026-08-11,"knowledge/administrative-units/04_huiwen.md",active
SRC-P1-047,"东路镇地名检索记录","OpenStreetMap contributors","https://nominatim.openstreetmap.org/search?format=jsonv2&countrycodes=cn&q=东路镇%2C文昌市%2C海南省%2C中国","openstreetmap.org",P1,administrative_unit,,2026-08-11,"knowledge/administrative-units/05_donglu.md",active
SRC-P1-048,"潭牛镇地名检索记录","OpenStreetMap contributors","https://nominatim.openstreetmap.org/search?format=jsonv2&countrycodes=cn&q=潭牛镇%2C文昌市%2C海南省%2C中国","openstreetmap.org",P1,administrative_unit,,2026-08-11,"knowledge/administrative-units/06_tanniu.md",active
SRC-P1-049,"东阁镇地名检索记录","OpenStreetMap contributors","https://nominatim.openstreetmap.org/search?format=jsonv2&countrycodes=cn&q=东阁镇%2C文昌市%2C海南省%2C中国","openstreetmap.org",P1,administrative_unit,,2026-08-11,"knowledge/administrative-units/07_dongge.md",active
SRC-P1-050,"文教镇地名检索记录","OpenStreetMap contributors","https://nominatim.openstreetmap.org/search?format=jsonv2&countrycodes=cn&q=文教镇%2C文昌市%2C海南省%2C中国","openstreetmap.org",P1,administrative_unit,,2026-08-11,"knowledge/administrative-units/08_wenjiao.md",active
SRC-P1-051,"东郊镇地名检索记录","OpenStreetMap contributors","https://nominatim.openstreetmap.org/search?format=jsonv2&countrycodes=cn&q=东郊镇%2C文昌市%2C海南省%2C中国","openstreetmap.org",P1,administrative_unit,,2026-08-11,"knowledge/administrative-units/09_dongjiao.md",active
SRC-P1-052,"龙楼镇地名检索记录","OpenStreetMap contributors","https://nominatim.openstreetmap.org/search?format=jsonv2&countrycodes=cn&q=龙楼镇%2C文昌市%2C海南省%2C中国","openstreetmap.org",P1,administrative_unit,,2026-08-11,"knowledge/administrative-units/10_longlou.md",active
SRC-P1-053,"昌洒镇地名检索记录","OpenStreetMap contributors","https://nominatim.openstreetmap.org/search?format=jsonv2&countrycodes=cn&q=昌洒镇%2C文昌市%2C海南省%2C中国","openstreetmap.org",P1,administrative_unit,,2026-08-11,"knowledge/administrative-units/11_changsa.md",active
SRC-P1-054,"翁田镇地名检索记录","OpenStreetMap contributors","https://nominatim.openstreetmap.org/search?format=jsonv2&countrycodes=cn&q=翁田镇%2C文昌市%2C海南省%2C中国","openstreetmap.org",P1,administrative_unit,,2026-08-11,"knowledge/administrative-units/12_wengtian.md",active
SRC-P1-055,"抱罗镇地名检索记录","OpenStreetMap contributors","https://nominatim.openstreetmap.org/search?format=jsonv2&countrycodes=cn&q=抱罗镇%2C文昌市%2C海南省%2C中国","openstreetmap.org",P1,administrative_unit,,2026-08-11,"knowledge/administrative-units/13_baoluo.md",active
SRC-P1-056,"冯坡镇地名检索记录","OpenStreetMap contributors","https://nominatim.openstreetmap.org/search?format=jsonv2&countrycodes=cn&q=冯坡镇%2C文昌市%2C海南省%2C中国","openstreetmap.org",P1,administrative_unit,,2026-08-11,"knowledge/administrative-units/14_fengpo.md",active
SRC-P1-057,"锦山镇地名检索记录","OpenStreetMap contributors","https://nominatim.openstreetmap.org/search?format=jsonv2&countrycodes=cn&q=锦山镇%2C文昌市%2C海南省%2C中国","openstreetmap.org",P1,administrative_unit,,2026-08-11,"knowledge/administrative-units/15_jinshan.md",active
SRC-P1-058,"铺前镇地名检索记录","OpenStreetMap contributors","https://nominatim.openstreetmap.org/search?format=jsonv2&countrycodes=cn&q=铺前镇%2C文昌市%2C海南省%2C中国","openstreetmap.org",P1,administrative_unit,,2026-08-11,"knowledge/administrative-units/16_puqian.md",active
SRC-P1-059,"公坡镇地名检索记录","OpenStreetMap contributors","https://nominatim.openstreetmap.org/search?format=jsonv2&countrycodes=cn&q=公坡镇%2C文昌市%2C海南省%2C中国","openstreetmap.org",P1,administrative_unit,,2026-08-11,"knowledge/administrative-units/17_gongpo.md",active
SRC-P0-060,"商业航天加速起飞 文昌航天旅游热度持续攀升","海南省人民政府","https://www.hainan.gov.cn/hainan/sxian/202503/c9adc208c956446da1af0454393ccc16.shtml","hainan.gov.cn",P0,aerospace_place,2025-03-11,2026-08-11,,supporting
SRC-P0-061,"海南商业航天发射场二期项目开工","海南省人民政府","https://www.hainan.gov.cn/hainan/hnxttq/202501/c1989f7c6e7349e89002ec1165c8f052.shtml?ddtab=true","hainan.gov.cn",P0,aerospace_place,2025-01-26,2026-08-11,,supporting
SRC-P1-062,"文昌市图书馆地图要素","OpenStreetMap contributors","https://www.openstreetmap.org/way/1241630958","openstreetmap.org",P1,public_services,,2026-08-11,,supporting
SRC-P1-063,"文昌中学地图要素","OpenStreetMap contributors","https://www.openstreetmap.org/way/1031045546","openstreetmap.org",P1,public_services,,2026-08-11,,supporting
SRC-P1-064,"海南外国语职业学院地图要素","OpenStreetMap contributors","https://www.openstreetmap.org/way/1031045559","openstreetmap.org",P1,public_services,,2026-08-11,,supporting
SRC-P1-065,"清华大学附属中学文昌学校地图要素","OpenStreetMap contributors","https://www.openstreetmap.org/way/1239263611","openstreetmap.org",P1,public_services,,2026-08-11,,supporting
SRC-P1-066,"龙楼中学地图要素","OpenStreetMap contributors","https://www.openstreetmap.org/way/1313904747","openstreetmap.org",P1,public_services,,2026-08-11,,supporting
SRC-P1-067,"文昌汽车站地图要素","OpenStreetMap contributors","https://www.openstreetmap.org/way/1031045351","openstreetmap.org",P1,transportation,,2026-08-11,,supporting
SRC-P1-068,"清澜大桥地图要素","OpenStreetMap contributors","https://www.openstreetmap.org/way/2274043607","openstreetmap.org",P1,transportation,,2026-08-11,,supporting
SRC-P1-069,"环球码头地图要素","OpenStreetMap contributors","https://www.openstreetmap.org/way/2274043619","openstreetmap.org",P1,transportation,,2026-08-11,,supporting
SRC-P0-065,"全国重点文物保护单位名录","国家文物局","https://www.ncha.gov.cn/col/col2262/index.html","ncha.gov.cn",P0,culture_history,,2026-08-11,,supporting
SRC-P0-066,"地理标志产品及相关区域资料","国家知识产权局","https://www.cnipa.gov.cn/module/download/downfile.jsp?classid=0&filename=adf984440b864c4fb48130e9fe7f9c16.pdf&showname+=undefined","cnipa.gov.cn",P0,agriculture_coast,,2026-08-11,,supporting
SRC-P0-072,"海南省财政厅关于提前下达2026年乡村振兴及百镇千村补助资金的通知","海南省财政厅","https://mof.hainan.gov.cn/sczt/0503/202601/128d0e0783a144bc8bc666ebcb82df25.shtml","mof.hainan.gov.cn",P0,policy_planning,2025-12-31,2026-08-11,"knowledge/17_policy_planning/03_rural_revitalization_funds_2026.md",active
SRC-P0-073,"海南省2026年政策性农业保险工作实施方案","海南省财政厅等","https://mof.hainan.gov.cn/sczt/0503/202601/8be1a653f1074b599142efe9cfb62887.shtml","mof.hainan.gov.cn",P0,policy_planning,2025-12-30,2026-08-11,"knowledge/17_policy_planning/04_agriculture_insurance_2026.md",active
SRC-P0-074,"关于提前下达2026年第二批水库移民扶持基金补助资金的通知","海南省财政厅","https://mof.hainan.gov.cn/sczt/0503/202601/9b7f07c5452547d2932419f29bf59e2b.shtml","mof.hainan.gov.cn",P0,policy_planning,2025-12-31,2026-08-11,,supporting
SRC-P0-076,"关于提前下达2025年海洋生态保护修复资金预算的通知","海南省财政厅","https://mof.hainan.gov.cn/sczt/0503/202412/68eb1a10b8b84d1996074ab846ad9515.shtml","mof.hainan.gov.cn",P0,coast_ocean,2024-12-31,2026-08-11,,supporting
SRC-P0-077,"海南省知识产权公共服务机构名录（2026年）","海南省知识产权局","https://amr.hainan.gov.cn/zw/tztg/202601/P020260107352673873874.pdf","amr.hainan.gov.cn",P0,public_services,2026-01-07,2026-08-11,"knowledge/20_public_services/01_ip_public_service.md",active
SRC-P1-078,"文昌市人民医院地图要素","高德地图","https://www.amap.com/place/B0FFG0IY1E","amap.com",P1,public_services,,2026-08-11,,supporting
SRC-P1-079,"文昌市市民健身活动中心地图要素","OpenStreetMap contributors","https://www.openstreetmap.org/way/1388920676","openstreetmap.org",P1,public_services,,2026-08-11,,supporting
SRC-P1-080,"文昌华侨中学地图要素","OpenStreetMap contributors","https://www.openstreetmap.org/way/1031045560","openstreetmap.org",P1,public_services,,2026-08-11,,supporting
SRC-P1-081,"文昌实验中学地图要素","OpenStreetMap contributors","https://www.openstreetmap.org/way/1031045558","openstreetmap.org",P1,public_services,,2026-08-11,,supporting
SRC-P1-082,"文昌市第三小学地图要素","OpenStreetMap contributors","https://www.openstreetmap.org/way/1031045545","openstreetmap.org",P1,public_services,,2026-08-11,,supporting
SRC-P1-083,"航天小学地图要素","OpenStreetMap contributors","https://www.openstreetmap.org/way/317085961","openstreetmap.org",P1,public_services,,2026-08-11,,supporting
SRC-P1-084,"韩家宅地名检索记录","OpenStreetMap contributors","https://nominatim.openstreetmap.org/search?format=jsonv2&countrycodes=cn&q=韩家宅%2C文昌市","openstreetmap.org",P1,culture_history,,2026-08-11,,supporting
SRC-P1-085,"文昌市人民政府地图要素","OpenStreetMap contributors","https://www.openstreetmap.org/node/4531891774","openstreetmap.org",P1,public_services,,2026-08-11,,supporting
SRC-P1-086,"文城镇人民政府地图要素","OpenStreetMap contributors","https://www.openstreetmap.org/node/4531891773","openstreetmap.org",P1,public_services,,2026-08-11,,supporting
SRC-P1-087,"文昌站地图要素","高德地图","https://www.amap.com/place/B07650LTR2","amap.com",P1,transportation,,2026-08-11,,supporting
SRC-P1-088,"海南卫星数据与应用研究中心地图要素","OpenStreetMap contributors","https://www.openstreetmap.org/node/13960309103","openstreetmap.org",P1,education_science,,2026-08-11,,supporting
SRC-P1-089,"太空实验室文昌基地地图要素","OpenStreetMap contributors","https://www.openstreetmap.org/node/13960309102","openstreetmap.org",P1,education_science,,2026-08-11,,supporting
SRC-P1-090,"文昌市公安局城南派出所地图要素","OpenStreetMap contributors","https://www.openstreetmap.org/way/1437057104","openstreetmap.org",P1,public_services,,2026-08-11,,supporting
